Results will be saved to results.out
Random restart 1 of 5

FOR 2
66 2145
7 65 1.313262 1.313262 1.313262 0.313262
8 9 0.048587 0.048587 0.048587 0.313262
8 10 0.313262 0.313262 0.313262 1.313262
8 11 0.313262 0.313262 0.313262 1.313262
8 12 0.048587 0.048587 0.048587 0.313262
8 13 0.313262 0.313262 0.313262 1.313262
8 14 0.313262 0.313262 0.313262 1.313262
8 15 0.048587 0.048587 0.048587 0.313262
8 16 3.048587 3.048587 3.048587 1.313262
8 17 0.048587 0.048587 0.048587 0.313262
8 18 0.313262 0.313262 0.313262 1.313262
8 19 1.313262 1.313262 1.313262 0.313262
8 20 0.048587 0.048587 0.048587 0.313262
8 21 0.018150 0.018150 0.018150 0.126928
8 22 1.313262 1.313262 1.313262 0.313262
8 23 0.693147 0.693147 0.693147 2.126928
8 24 0.313262 0.313262 0.313262 1.313262
8 25 0.048587 0.048587 0.048587 0.313262
8 26 0.126928 0.126928 0.126928 2.126928
8 27 0.048587 0.048587 0.048587 0.313262
8 28 0.048587 0.048587 0.048587 0.313262
8 29 3.048587 3.048587 3.048587 1.313262
8 30 0.313262 0.313262 0.313262 1.313262
8 31 1.313262 1.313262 1.313262 0.313262
8 32 0.313262 0.313262 0.313262 1.313262
8 33 1.313262 1.313262 1.313262 0.313262
8 34 0.313262 0.313262 0.313262 1.313262
8 35 3.048587 3.048587 3.048587 1.313262
8 36 0.313262 0.313262 0.313262 1.313262
8 37 0.048587 0.048587 0.048587 0.313262
8 38 0.048587 0.048587 0.048587 0.313262
8 39 0.313262 0.313262 0.313262 1.313262
8 40 0.693147 0.693147 0.693147 2.126928
8 41 0.313262 0.313262 0.313262 1.313262
8 42 0.313262 0.313262 0.313262 1.313262
8 43 0.048587 0.048587 0.048587 0.313262
8 44 0.313262 0.313262 0.313262 1.313262
8 45 0.006715 0.006715 0.006715 0.313262
8 46 0.313262 0.313262 0.313262 1.313262
8 47 1.313262 1.313262 1.313262 0.313262
8 48 0.048587 0.048587 0.048587 0.313262
8 49 0.048587 0.048587 0.048587 0.313262
8 50 0.313262 0.313262 0.313262 1.313262
8 51 0.048587 0.048587 0.048587 0.313262
8 52 1.313262 1.313262 1.313262 0.313262
8 53 0.313262 0.313262 0.313262 1.313262
8 54 0.313262 0.313262 0.313262 1.313262
8 55 3.048587 3.048587 3.048587 1.313262
8 56 0.313262 0.313262 0.313262 1.313262
8 57 0.048587 0.048587 0.048587 0.313262
8 58 0.048587 0.048587 0.048587 0.313262
8 59 3.048587 3.048587 3.048587 1.313262
8 60 0.313262 0.313262 0.313262 1.313262
8 61 0.313262 0.313262 0.313262 1.313262
8 62 0.313262 0.313262 0.313262 1.313262
8 63 3.048587 3.048587 3.048587 1.313262
8 64 0.018150 0.018150 0.018150 0.126928
8 65 1.313262 1.313262 1.313262 0.313262
9 10 0.048587 0.048587 0.048587 0.313262
9 11 0.048587 0.048587 0.048587 0.313262
9 12 0.048587 0.048587 0.048587 0.313262
9 13 3.048587 3.048587 3.048587 1.313262
9 14 0.048587 0.048587 0.048587 0.313262
9 15 0.048587 0.048587 0.048587 0.313262
9 16 0.048587 0.048587 0.048587 0.313262
9 17 3.048587 3.048587 3.048587 1.313262
9 18 0.048587 0.048587 0.048587 0.313262
9 19 0.048587 0.048587 0.048587 0.313262
9 20 0.048587 0.048587 0.048587 0.313262
9 21 0.018150 0.018150 0.018150 0.126928
9 22 0.048587 0.048587 0.048587 0.313262
9 23 0.018150 0.018150 0.018150 0.126928
9 24 0.048587 0.048587 0.048587 0.313262
9 25 0.048587 0.048587 0.048587 0.313262
9 26 0.018150 0.018150 0.018150 0.693147
9 27 0.048587 0.048587 0.048587 0.313262
9 28 0.048587 0.048587 0.048587 0.313262
9 29 0.048587 0.048587 0.048587 0.313262
9 30 0.048587 0.048587 0.048587 0.313262
9 31 0.048587 0.048587 0.048587 0.313262
9 32 0.048587 0.048587 0.048587 0.313262
9 33 0.048587 0.048587 0.048587 0.313262
9 34 0.048587 0.048587 0.048587 0.313262
9 35 0.048587 0.048587 0.048587 0.313262
9 36 0.048587 0.048587 0.048587 0.313262
9 37 0.048587 0.048587 0.048587 0.313262
